"x","y"
-145.51,-113.94
-137.71,-2.5959
-132.52,-31.984
-129.4,-40.637
-122.13,-52.555
-103.95,-63.494
-69.143,-73.616
-51.481,-78.678
-29.662,-84.229
-11.481,-88.637
 5.1429,-92.229
 22.805,-95.494
 43.584,-99.086
 65.922,-102.51
 89.818,-105.13
 115.79,-107.9
 141.25,-109.37
 170.86,-110.51
 203.06,-111.66
 234.23,-112.31
 424.36,-115.25
 605.66,-111.49
 278.39,-112.47
 636.83,-115.41
