"Ko","Vr","err"
 1.00000000000000000e+00,-8.54669999999999987e+01,-5.83500000000000085e+00
 2.00000000000000000e+00,-8.34830000000000041e+01,-5.09799999999999898e+00
 3.00000000000000000e+00,-8.21219999999999999e+01,-3.74650000000000460e+00
 4.00000000000000000e+00,-8.07650000000000006e+01,-2.76449999999999818e+00
 5.00000000000000000e+00,-8.02680000000000007e+01,-1.90400000000000347e+00
 6.00000000000000000e+00,-7.60939999999999941e+01,-2.39550000000000551e+00
 8.00000000000000000e+00,-6.81189999999999998e+01,-2.51850000000000307e+00
 1.00000000000000000e+01,-6.12469999999999999e+01,-3.13250000000000028e+00
 2.00000000000000000e+01,-4.22269999999999968e+01,-2.70250000000000057e+00
 3.00000000000000000e+01,-3.21629999999999967e+01,-2.64100000000000001e+00
 4.00000000000000000e+01,-2.36969999999999992e+01,-4.79099999999999859e+00
 5.00000000000000000e+01,-1.87869999999999990e+01,-4.72949999999999982e+00
