"Ko","Vr"
 2.00000000000000000e+00,-7.58059999999999974e+01
 3.00000000000000000e+00,-8.15949999999999989e+01
 4.00000000000000000e+00,-7.97379999999999995e+01
 5.20271594846228158e+00,-7.74440000000000026e+01
 6.41031587579538797e+00,-7.42770000000000010e+01
 7.00000000000000000e+00,-7.16560000000000059e+01
 8.22371059671890414e+00,-6.92530000000000001e+01
 1.16711633174369585e+01,-5.97520000000000024e+01
 1.99999999999999929e+01,-4.78470000000000013e+01
