"ts","vs"
 1.38750000000000000e+03, 0.00000000000000000e+00
 1.41625000000000000e+03, 3.37333258075946176e+01
 1.42343750000000000e+03, 3.74777617779324217e+01
 1.42703125000000000e+03, 3.92113639902095841e+01
 1.42792968750000000e+03, 3.96319987020484348e+01
 1.42837890625000000e+03, 3.98416614088055070e+01
 1.42860351562500000e+03, 3.99479101090194249e+01
 1.42865966796875000e+03, 3.99742982549027133e+01
 1.42871582031250000e+03, 4.00009615343420535e+01
 1.42882812500000000e+03, 4.00539458825575920e+01
 1.43062500000000000e+03, 4.08770884200445295e+01
 1.44500000000000000e+03, 4.70489563500287034e+01
 1.56000000000000000e+03, 7.28700845492995910e+01
 1.79000000000000000e+03, 7.93415752120997126e+01
