"ts","vs"
 1.55250000000000000e+03, 0.00000000000000000e+00
 1.61062500000000000e+03, 0.00000000000000000e+00
 1.63968750000000000e+03, 0.00000000000000000e+00
 1.64695312500000000e+03, 0.00000000000000000e+00
 1.65058593750000000e+03, 0.00000000000000000e+00
 1.65064270019531250e+03, 1.03334262984340981e+01
 1.65069946289062500e+03, 1.16341326927384841e+02
 1.65081298828125000e+03, 2.25801571387642639e+02
 1.65104003906250000e+03, 1.11634774759993306e+02
 1.65149414062500000e+03, 1.06530315103664122e+02
 1.65240234375000000e+03, 8.04215712589644482e+01
 1.65421875000000000e+03, 6.34607696446944587e+01
 1.66875000000000000e+03, 4.18470241750512528e+01
 1.78500000000000000e+03, 5.32208072717863132e+01
