"ts","vs"
 1.29625000000000000e+03, 0.00000000000000000e+00
 1.30050781250000000e+03, 0.00000000000000000e+00
 1.30157226562500000e+03, 0.00000000000000000e+00
 1.30170532226562500e+03, 0.00000000000000000e+00
 1.30177185058593750e+03, 3.30120935871403844e+01
 1.30183837890625000e+03, 4.76718306819792872e+01
 1.30210449218750000e+03, 4.42491877936361675e+01
 1.30263671875000000e+03, 4.23330122029962723e+01
 1.30476562500000000e+03, 4.01117732536851008e+01
 1.31328125000000000e+03, 4.10948712180678655e+01
 1.33031250000000000e+03, 4.71098671128163673e+01
 1.36437500000000000e+03, 5.71585861626200682e+01
 1.43250000000000000e+03, 6.68319336560578705e+01
 1.70500000000000000e+03, 7.35201457978247817e+01
