"ts","vs"
 1.15312500000000000e+03, 0.00000000000000000e+00
 1.18968750000000000e+03, 0.00000000000000000e+00
 1.19882812500000000e+03, 0.00000000000000000e+00
 1.20111328125000000e+03, 3.81835018860397497e+01
 1.20225585937500000e+03, 3.94154485886038941e+01
 1.20282714843750000e+03, 3.99027860443860263e+01
 1.20289855957031250e+03, 3.99621362465239400e+01
 1.20296997070312500e+03, 4.00210696556001793e+01
 1.20311279296875000e+03, 4.01372428773362699e+01
 1.20339843750000000e+03, 4.03637460770136158e+01
 1.20796875000000000e+03, 4.38151737701890340e+01
 1.22625000000000000e+03, 5.62942385204415245e+01
 1.37250000000000000e+03, 7.96140757506881442e+01
 1.66500000000000000e+03, 8.25752289620387927e+01
