"ts","vs"
 9.00303125000000000e+05, 0.00000000000000000e+00
 9.00334687500000000e+05, 0.00000000000000000e+00
 9.00350468750000000e+05, 3.97591195234655927e+01
 9.00351455078125000e+05, 3.99983643269013385e+01
 9.00351516723632812e+05, 4.00143449366040258e+01
 9.00351578369140625e+05, 4.00293850829528850e+01
 9.00351701660156250e+05, 4.00560987449688355e+01
 9.00351948242187500e+05, 4.01213505363548890e+01
 9.00352441406250000e+05, 4.02538042496341717e+01
 9.00354414062500000e+05, 4.08625854667712787e+01
 9.00358359375000000e+05, 4.22528156743055874e+01
 9.00366250000000000e+05, 4.52704813566133026e+01
 9.00492500000000000e+05, 7.48268356155809897e+01
 9.00745000000000000e+05, 7.98651705610966332e+01
