"ts","vs"
 1.20937500000000000e+03, 0.00000000000000000e+00
 1.22671875000000000e+03, 0.00000000000000000e+00
 1.22726074218750000e+03, 0.00000000000000000e+00
 1.22753173828125000e+03, 0.00000000000000000e+00
 1.22766723632812500e+03, 0.00000000000000000e+00
 1.22773498535156250e+03, 6.53851221705705399e+01
 1.22780273437500000e+03, 6.44633640859895820e+01
 1.22888671875000000e+03, 6.24923274507044297e+01
 1.23105468750000000e+03, 6.25658743157064094e+01
 1.23539062500000000e+03, 6.41170801926512439e+01
 1.24406250000000000e+03, 6.65855488561420259e+01
 1.27875000000000000e+03, 6.60090551452114767e+01
 1.41750000000000000e+03, 6.36729515180703274e+01
 1.69500000000000000e+03, 6.24006448208160975e+01
