"ts","vs"
 1.46250000000000000e+03, 3.84942474325527613e+01
 1.46660156250000000e+03, 3.94004872937218593e+01
 1.46865234375000000e+03, 3.98470543992558461e+01
 1.46916503906250000e+03, 3.99729831512299114e+01
 1.46929321289062500e+03, 3.99995238635796682e+01
 1.46935729980468750e+03, 4.00121537607032138e+01
 1.46942138671875000e+03, 4.00247641784324983e+01
 1.46967773437500000e+03, 4.00702295505553394e+01
 1.47070312500000000e+03, 4.02997631420609963e+01
 1.47890625000000000e+03, 4.19333600226684879e+01
 1.49531250000000000e+03, 4.46075251916995583e+01
 1.52812500000000000e+03, 4.81841533350614313e+01
 1.59375000000000000e+03, 5.14439679640075127e+01
 1.72500000000000000e+03, 5.16860876648217484e+01
