"ts","vs"
 1.23750000000000000e+03, 0.00000000000000000e+00
 1.27125000000000000e+03, 0.00000000000000000e+00
 1.27546875000000000e+03, 0.00000000000000000e+00
 1.27757812500000000e+03, 0.00000000000000000e+00
 1.27863281250000000e+03, 0.00000000000000000e+00
 1.27916015625000000e+03, 0.00000000000000000e+00
 1.27922607421875000e+03, 6.31701990354390333e+01
 1.27929199218750000e+03, 6.13338201702164980e+01
 1.27942382812500000e+03, 5.99424378578518500e+01
 1.27968750000000000e+03, 5.87996161707799203e+01
 1.28812500000000000e+03, 6.04334115486371530e+01
 1.30500000000000000e+03, 6.85736431605563013e+01
 1.44000000000000000e+03, 7.32834844616204322e+01
 1.71000000000000000e+03, 7.31822641018276130e+01
