"ts","vs"
 1.25625000000000000e+03, 0.00000000000000000e+00
 1.28937500000000000e+03, 0.00000000000000000e+00
 1.29765625000000000e+03, 0.00000000000000000e+00
 1.30179687500000000e+03, 0.00000000000000000e+00
 1.30231445312500000e+03, 0.00000000000000000e+00
 1.30257324218750000e+03, 0.00000000000000000e+00
 1.30270263671875000e+03, 0.00000000000000000e+00
 1.30276733398437500e+03, 6.39477257699593054e+01
 1.30283203125000000e+03, 6.19732988340045949e+01
 1.30386718750000000e+03, 5.43202304266894416e+01
 1.30593750000000000e+03, 5.28317020287561476e+01
 1.32250000000000000e+03, 6.15821250942297311e+01
 1.45500000000000000e+03, 8.14049319453724962e+01
 1.72000000000000000e+03, 8.04489055861387783e+01
