"ts","vs"
 1.27500000000000000e+03, 2.68489033804508175e+01
 1.29125000000000000e+03, 3.70428491486956872e+01
 1.29531250000000000e+03, 3.93216789520273267e+01
 1.29632812500000000e+03, 3.98829744834886455e+01
 1.29645507812500000e+03, 3.99519039832126737e+01
 1.29651855468750000e+03, 3.99861761172288510e+01
 1.29658203125000000e+03, 4.00208292790890994e+01
 1.29683593750000000e+03, 4.01595595029339805e+01
 1.29734375000000000e+03, 4.04418596658452074e+01
 1.29937500000000000e+03, 4.15491972418454125e+01
 1.30750000000000000e+03, 4.58590719973616956e+01
 1.34000000000000000e+03, 6.03674877248602257e+01
 1.47000000000000000e+03, 7.64400229561769891e+01
 1.73000000000000000e+03, 7.90631780778872155e+01
