"ts","vs"
 1.44000000000000000e+03, 0.00000000000000000e+00
 1.57500000000000000e+03, 3.75490628300101790e+01
 1.59187500000000000e+03, 3.96945621420225905e+01
 1.59398437500000000e+03, 3.99405036397482505e+01
 1.59424804687500000e+03, 3.99668918227836230e+01
 1.59437988281250000e+03, 3.99891867075280913e+01
 1.59444580078125000e+03, 3.99984391872157303e+01
 1.59451171875000000e+03, 4.00083406734717926e+01
 1.59503906250000000e+03, 4.00746203099419702e+01
 1.59609375000000000e+03, 4.02027624749339481e+01
 1.60031250000000000e+03, 4.06956593626863281e+01
 1.60875000000000000e+03, 4.16351558705384335e+01
 1.64250000000000000e+03, 4.50742955865307877e+01
 1.71000000000000000e+03, 5.05197409692455253e+01
