"ts","vs"
 9.00313750000000000e+05, 0.00000000000000000e+00
 9.00317929687500000e+05, 0.00000000000000000e+00
 9.00320019531250000e+05, 0.00000000000000000e+00
 9.00320280761718750e+05, 1.46163061570011408e+01
 9.00320346069335938e+05, 4.47180550848730718e+01
 9.00320411376953125e+05, 4.61856982833581711e+01
 9.00320541992187500e+05, 4.52471045340877538e+01
 9.00321064453125000e+05, 4.23333965005354713e+01
 9.00322109375000000e+05, 4.04764622151194189e+01
 9.00330468750000000e+05, 4.00094198730386736e+01
 9.00347187500000000e+05, 4.55872614931940845e+01
 9.00380625000000000e+05, 5.54439168051263849e+01
 9.00447500000000000e+05, 6.51182666206952945e+01
 9.00715000000000000e+05, 7.22825156898011301e+01
