"ts","vs"
 9.00515000000000000e+05, 0.00000000000000000e+00
 9.00576250000000000e+05, 3.36798914802627110e+01
 9.00606875000000000e+05, 3.76268470054812383e+01
 9.00622187500000000e+05, 3.93569020621204118e+01
 9.00626015625000000e+05, 3.97697570627108803e+01
 9.00627929687500000e+05, 3.99735582364886852e+01
 9.00628049316406250e+05, 3.99938082969452893e+01
 9.00628109130859375e+05, 3.99997051399008114e+01
 9.00628168945312500e+05, 4.00040736785737963e+01
 9.00628408203125000e+05, 4.00187317717482358e+01
 9.00628886718750000e+05, 4.00671820832257524e+01
 9.00629843750000000e+05, 4.01590332260682388e+01
 9.00637500000000000e+05, 4.09541845913559399e+01
 9.00760000000000000e+05, 5.03436430867920350e+01
