"ts","vs"
 1.32005676269531250e+03, 5.27218083421368320e+01
 1.32011352539062500e+03, 5.27494123324818887e+01
 1.32022705078125000e+03, 5.28036467553905098e+01
 1.32045410156250000e+03, 5.29065369406969523e+01
 1.32090820312500000e+03, 5.31393437750871627e+01
 1.32181640625000000e+03, 5.35901939605158191e+01
 1.32363281250000000e+03, 5.44883522343491791e+01
 1.32726562500000000e+03, 5.62137914124859179e+01
 1.33453125000000000e+03, 5.93939615438027317e+01
 1.34906250000000000e+03, 6.46072430963353668e+01
 1.37812500000000000e+03, 7.06217994187115181e+01
 1.43625000000000000e+03, 7.24635751355331479e+01
 1.55250000000000000e+03, 6.98427388171864436e+01
 1.78500000000000000e+03, 6.90359526800743879e+01
