"ts","vs"
 9.00359375000000000e+05, 0.00000000000000000e+00
 9.00389062500000000e+05, 3.68608686147749722e+01
 9.00403906250000000e+05, 3.69433035790113706e+01
 9.00411328125000000e+05, 3.90892727030723535e+01
 9.00413183593750000e+05, 3.96483817367212978e+01
 9.00414111328125000e+05, 3.99375586228752226e+01
 9.00414227294921875e+05, 3.99786884007318193e+01
 9.00414285278320312e+05, 3.99967134478923256e+01
 9.00414343261718750e+05, 4.00149101695104150e+01
 9.00414575195312500e+05, 4.00757594470444403e+01
 9.00415039062500000e+05, 4.02034847335336849e+01
 9.00418750000000000e+05, 4.13398770899002130e+01
 9.00537500000000000e+05, 6.72879139255930738e+01
 9.00775000000000000e+05, 7.91951999482476197e+01
