"ts","vs"
 1.26125000000000000e+03, 3.13087137800274284e+01
 1.27007812500000000e+03, 3.76755613286856317e+01
 1.27228515625000000e+03, 3.89457287723979420e+01
 1.27338867187500000e+03, 3.95552711278244260e+01
 1.27394042968750000e+03, 3.98570381153329691e+01
 1.27407836914062500e+03, 3.99311995853615329e+01
 1.27414733886718750e+03, 3.99679215368835870e+01
 1.27421630859375000e+03, 4.00039953102494152e+01
 1.27449218750000000e+03, 4.01516835304576389e+01
 1.27890625000000000e+03, 4.23929651985109288e+01
 1.29656250000000000e+03, 4.97470817887051027e+01
 1.33187500000000000e+03, 5.90615147551081563e+01
 1.40250000000000000e+03, 6.71418432010942041e+01
 1.68500000000000000e+03, 7.39272684430948033e+01
