"ts","vs"
 1.37812500000000000e+03, 0.00000000000000000e+00
 1.40718750000000000e+03, 3.52909998130295008e+01
 1.42171875000000000e+03, 3.71536077373796445e+01
 1.42898437500000000e+03, 3.92379967705400361e+01
 1.43080078125000000e+03, 3.97677601290821556e+01
 1.43125488281250000e+03, 3.98944727395052752e+01
 1.43148193359375000e+03, 3.99540063976730195e+01
 1.43159545898437500e+03, 3.99838715934005151e+01
 1.43165222167968750e+03, 3.99993387682613317e+01
 1.43170898437500000e+03, 4.00166245980226165e+01
 1.43261718750000000e+03, 4.02844818398678299e+01
 1.43625000000000000e+03, 4.13526291524056262e+01
 1.55250000000000000e+03, 6.58584260169549367e+01
 1.78500000000000000e+03, 7.88844496417855225e+01
