"ts","vs"
 1.21875000000000000e+03, 0.00000000000000000e+00
 1.23593750000000000e+03, 0.00000000000000000e+00
 1.24453125000000000e+03, 0.00000000000000000e+00
 1.24506835937500000e+03, 0.00000000000000000e+00
 1.24533691406250000e+03, 0.00000000000000000e+00
 1.24547119140625000e+03, 0.00000000000000000e+00
 1.24553833007812500e+03, 6.17881757363723025e+01
 1.24560546875000000e+03, 6.12224944298479201e+01
 1.24667968750000000e+03, 5.98729413799263455e+01
 1.24882812500000000e+03, 6.02119836853346371e+01
 1.25312500000000000e+03, 6.18588594866281412e+01
 1.28750000000000000e+03, 6.37779037898552730e+01
 1.42500000000000000e+03, 6.23027783899435477e+01
 1.70000000000000000e+03, 6.21347762440521123e+01
