"ts","vs"
 1.44593750000000000e+03, 3.34343539503669618e+01
 1.45890625000000000e+03, 3.84705772893299027e+01
 1.46214843750000000e+03, 3.97603186442466097e+01
 1.46255371093750000e+03, 3.99243903297625238e+01
 1.46265502929687500e+03, 3.99642979624148964e+01
 1.46270568847656250e+03, 3.99839622064559705e+01
 1.46275634765625000e+03, 4.00035773221783799e+01
 1.46295898437500000e+03, 4.00826391055618316e+01
 1.46376953125000000e+03, 4.04101035599532921e+01
 1.46539062500000000e+03, 4.10593133497979608e+01
 1.47187500000000000e+03, 4.36688747123424363e+01
 1.52375000000000000e+03, 6.26507912216545790e+01
 1.62750000000000000e+03, 7.48042498245208805e+01
 1.83500000000000000e+03, 7.69925559378887101e+01
