"ts","vs"
 1.23750000000000000e+03, 0.00000000000000000e+00
 1.25437500000000000e+03, 0.00000000000000000e+00
 1.26281250000000000e+03, 0.00000000000000000e+00
 1.26703125000000000e+03, 0.00000000000000000e+00
 1.26709716796875000e+03, 0.00000000000000000e+00
 1.26716308593750000e+03, 7.01570875676531358e+01
 1.26729492187500000e+03, 6.31437264507425624e+01
 1.26755859375000000e+03, 6.10629678674612819e+01
 1.26808593750000000e+03, 5.96517983017388502e+01
 1.26914062500000000e+03, 5.88994276069980600e+01
 1.27125000000000000e+03, 5.92017065955531265e+01
 1.30500000000000000e+03, 7.40576127220660254e+01
 1.44000000000000000e+03, 7.46827891175039724e+01
 1.71000000000000000e+03, 7.30971112740988076e+01
