"ts","vs"
 1.17187500000000000e+03, 0.00000000000000000e+00
 1.20781250000000000e+03, 2.19237997413610550e+01
 1.22578125000000000e+03, 3.81763735874265748e+01
 1.22802734375000000e+03, 3.94369099915979504e+01
 1.22858886718750000e+03, 3.97483695930729084e+01
 1.22886962890625000e+03, 3.99035509114455209e+01
 1.22901000976562500e+03, 3.99800603973726609e+01
 1.22908020019531250e+03, 4.00177998487763560e+01
 1.22915039062500000e+03, 4.00553420185906504e+01
 1.23027343750000000e+03, 4.06642055556926536e+01
 1.23476562500000000e+03, 4.30221065298471146e+01
 1.24375000000000000e+03, 4.74078939534563446e+01
 1.38750000000000000e+03, 7.42118505651104243e+01
 1.67500000000000000e+03, 7.94383036626759633e+01
