"ts","vs"
 1.72000000000000000e+03, 0.00000000000000000e+00
 1.85250000000000000e+03, 3.60106033331840365e+01
 1.91875000000000000e+03, 3.83578649821571247e+01
 1.95187500000000000e+03, 3.93666108149675011e+01
 1.96843750000000000e+03, 3.98238363016264927e+01
 1.97257812500000000e+03, 3.99251809999361313e+01
 1.97464843750000000e+03, 3.99863567862433982e+01
 1.97477783203125000e+03, 3.99972931482518845e+01
 1.97484252929687500e+03, 4.00028816911127478e+01
 1.97490722656250000e+03, 4.00037538593039415e+01
 1.97516601562500000e+03, 4.00057940192717751e+01
 1.97568359375000000e+03, 4.00160717012896043e+01
 1.97671875000000000e+03, 4.00449648617005920e+01
 1.98500000000000000e+03, 4.02573097614479778e+01
