"ts","vs"
 1.59375000000000000e+03, 2.45034028416129814e+01
 1.64062500000000000e+03, 3.65982429657630064e+01
 1.65234375000000000e+03, 3.90456507718083472e+01
 1.65527343750000000e+03, 3.96346264041015459e+01
 1.65673828125000000e+03, 3.99274256363788425e+01
 1.65692138671875000e+03, 3.99651377796644454e+01
 1.65701293945312500e+03, 3.99843200712092681e+01
 1.65710449218750000e+03, 4.00029047974165763e+01
 1.65747070312500000e+03, 4.00728361856988684e+01
 1.65820312500000000e+03, 4.02202836108086856e+01
 1.66406250000000000e+03, 4.13630508891592612e+01
 1.68750000000000000e+03, 4.56520686627157204e+01
 1.87500000000000000e+03, 6.65194780023726366e+01
