"ts","vs"
 1.22812500000000000e+03, 0.00000000000000000e+00
 1.24515625000000000e+03, 0.00000000000000000e+00
 1.25367187500000000e+03, 0.00000000000000000e+00
 1.25792968750000000e+03, 0.00000000000000000e+00
 1.26005859375000000e+03, 0.00000000000000000e+00
 1.26032470703125000e+03, 0.00000000000000000e+00
 1.26045776367187500e+03, 0.00000000000000000e+00
 1.26052429199218750e+03, 6.28187060044168675e+01
 1.26059082031250000e+03, 6.20228427050133888e+01
 1.26112304687500000e+03, 6.03117164976263922e+01
 1.26218750000000000e+03, 5.97705519935193266e+01
 1.29625000000000000e+03, 6.87522366536078238e+01
 1.43250000000000000e+03, 6.77007303999876342e+01
 1.70500000000000000e+03, 6.76261430214523926e+01
