"ts","vs"
 1.25218750000000000e+03, 9.19152862973207441e+00
 1.26023437500000000e+03, 3.82376108720360222e+01
 1.26224609375000000e+03, 3.98170284018410356e+01
 1.26237182617187500e+03, 3.99121489865272352e+01
 1.26243469238281250e+03, 3.99594238314741688e+01
 1.26249755859375000e+03, 4.00076885708031895e+01
 1.26274902343750000e+03, 4.01984436943580121e+01
 1.26325195312500000e+03, 4.05726950138005762e+01
 1.26425781250000000e+03, 4.13164547961557531e+01
 1.26828125000000000e+03, 4.41975914734160185e+01
 1.28437500000000000e+03, 5.43247470804981845e+01
 1.34875000000000000e+03, 6.94302743415031074e+01
 1.47750000000000000e+03, 7.12013557663336627e+01
 1.73500000000000000e+03, 7.15512927360678219e+01
