"ts","vs"
 1.22812500000000000e+03, 0.00000000000000000e+00
 1.24515625000000000e+03, 0.00000000000000000e+00
 1.24622070312500000e+03, 0.00000000000000000e+00
 1.24648681640625000e+03, 0.00000000000000000e+00
 1.24661987304687500e+03, 0.00000000000000000e+00
 1.24668640136718750e+03, 6.56454365949273324e+01
 1.24675292968750000e+03, 6.47234570046021531e+01
 1.24728515625000000e+03, 6.25973592879769782e+01
 1.24941406250000000e+03, 6.16907004015313163e+01
 1.25367187500000000e+03, 6.35571911928352762e+01
 1.26218750000000000e+03, 6.77665144690684116e+01
 1.29625000000000000e+03, 7.15523129177472015e+01
 1.43250000000000000e+03, 6.90950194476087063e+01
 1.70500000000000000e+03, 6.77788081376484683e+01
